CustNo,Branch SDN Name,LATITUDE,LONGITUDE,reverse_geotag_mediatrac,address_sap,checking,revisi_latlong
5810022775,SDN Semarang,-6.92794,110.56105,"5810022775 Jl. Semarang-Demak, Karang Tengah, Demak, Jawa Tengah 59561, Indonesia 59561",PS SAYUNG LOS IKAN 1 DERETAN MB UL - SAYUNG DEMAK,ok,
5810021917,SDN Semarang,-6.92794,110.56105,"5810021917 Jl. Semarang-Demak, Karang Tengah, Demak, Jawa Tengah 59561, Indonesia 59561",PS SAYUNG LOS SELATAN B 23 - DEMAK DEMAK,ok,
5810002461,SDN Semarang,-6.891423,110.640652,"5810002461 Jl. Semarang-Demak, Kec. Demak, Demak, Jawa Tengah 59511, Indonesia 59511",PS. BUYARAN LOS BARAT NO. 1 JL. SEMARANG - DEMAK KM. 22 DEMAK,ok,
5810021913,SDN Semarang,-6.94211,110.509,"5810021913 Jl. Semarang-Demak, Sayung, Demak, Jawa Tengah 59563, Indonesia 59563",PS SAYUNG BLOK 36 - DEMAK -,ok,
5810022229,SDN Semarang,-6.94211,110.509,"5810022229 Jl. Semarang-Demak, Sayung, Demak, Jawa Tengah 59563, Indonesia 59563",PS SAYUNG LOS BELAKANG LUAR 1 - DEMAK -,ok,
5810022074,SDN Semarang,-6.94211,110.509,"5810022074 Jl. Semarang-Demak, Sayung, Demak, Jawa Tengah 59563, Indonesia 59563",PS SAYUNG LOS DALAM - DEMAK -,ok,
5810022117,SDN Semarang,-6.94211,110.509,"5810022117 Jl. Semarang-Demak, Sayung, Demak, Jawa Tengah 59563, Indonesia 59563",PS SAYUNG LOS DALAM DPN NOLI PLASTIK - DEMAK,ok,
5810020386,SDN Semarang,-6.94211,110.509,"5810020386 Jl. Semarang-Demak, Sayung, Demak, Jawa Tengah 59563, Indonesia 59563",PS SAYUNG LOS DEPAN SAMPING SALON ZONA #NAME?,ok,
5810012357,SDN Semarang,-7.25514,110.410527,"5810012357 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",JL. JEND SUDIRMAN NO. 239 KUPANG-AMBARAW A  SEMARANG JAWA TENGAH - 5000,ok,
5810011792,SDN Semarang,-7.25514,110.410527,"5810011792 Jl. Semarang-Yogyakarta, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",JL. JEND. SUDIRMAN  AMBARAWA -,ok,
